id,nom_segment,type_segment,score_rfm,score_recence,score_frequence,score_montant,valeur_vie_client
1,At Risk,Low,232,2,3,2,22260
2,Hibernating,Low,224,2,2,4,22880
3,About To Sleep,Low,322,3,2,2,19200
4,Need Attention,Medium,342,3,4,2,30160
5,Promising,Medium,525,5,2,5,37800
6,Promising,Medium,425,4,2,5,27540
7,Lost,Medium,432,4,3,2,27500
8,Need Attention,Medium,335,3,3,5,28000
9,Hibernating,Low,222,2,2,2,19980
10,Promising,Low,412,4,1,2,21660
11,Loyal Customers,Premium,455,4,5,5,43000
12,Promising,Low,411,4,1,1,14100
13,At Risk,Low,242,2,4,2,20160
14,Champions,Premium,555,5,5,5,47700
15,Lost,Low,133,1,3,3,18860
16,Lost,Low,123,1,2,3,21800
17,Need Attention,Medium,354,3,5,4,33670
18,Hibernating,Low,224,2,2,4,22100
19,Lost,Low,112,1,1,2,14430
20,Promising,Medium,425,4,2,5,32300
21,At Risk,Medium,252,2,5,2,31320
22,Loyal Customers,Premium,454,4,5,4,36270
23,Lost,Low,113,1,1,3,19550
24,Need Attention,Medium,343,3,4,3,27900
25,New Customers,Medium,522,5,2,2,19440
26,About To Sleep,Low,314,3,1,4,20250
27,Lost,Medium,451,4,5,1,31860
28,About To Sleep,Low,311,3,1,1,13520
29,Need Attention,Medium,353,3,5,3,29370
30,At Risk,Low,251,2,5,1,23460
31,Lost,Low,121,1,2,1,10680
32,Lost,Medium,531,5,3,1,25990
33,Lost,Low,123,1,2,3,20600
34,Hibernating,Low,212,2,1,2,15900
35,Lost,Low,111,1,1,1,7650
36,Cant Lose Them,Low,142,1,4,2,22440
37,Need Attention,Medium,344,3,4,4,32300
38,Cant Lose Them,Medium,144,1,4,4,27300
39,At Risk,Low,251,2,5,1,24840
40,New Customers,Medium,522,5,2,2,22320
41,About To Sleep,Low,314,3,1,4,28750
42,At Risk,Low,242,2,4,2,20160
43,Promising,Medium,513,5,1,3,28250
44,Promising,Medium,525,5,2,5,42840
45,At Risk,Low,232,2,3,2,17850
46,Lost,Medium,442,4,4,2,24640
47,Lost,Low,431,4,3,1,19110
48,Lost,Medium,552,5,5,2,29040
49,Promising,Low,422,4,2,2,17600
50,About To Sleep,Medium,315,3,1,5,33640
51,Hibernating,Low,223,2,2,3,20680
52,New Customers,Medium,522,5,2,2,27120
53,Hibernating,Low,222,2,2,2,17100
54,New Customers,Low,521,5,2,1,16200
55,Lost,Low,111,1,1,1,7920
56,New Customers,Medium,522,5,2,2,20640
57,Promising,Medium,514,5,1,4,33060
58,At Risk,Low,251,2,5,1,18400
59,Need Attention,Medium,351,3,5,1,25750
60,Promising,Low,412,4,1,2,16340
61,At Risk,Low,231,2,3,1,19210
62,Lost,Low,133,1,3,3,20700
