id_temps,jour,mois,annee,date_complete,nom_jour,nom_mois,jour_semaine,semaine_annee,jour_annee,trimestre,semestre,trimestre_label,semestre_label,fiscal_year,fiscal_quarter,fiscal_month,is_weekend,is_working_day,is_holiday,holiday_name,is_current_day,is_current_week,is_current_month,is_current_quarter,is_current_year
1,1,1,2019,2019-01-01,Tuesday,January,2,1,1,1,1,Q1 2019,H1 2019,2019,1,1,False,True,True,New Year's Day,False,False,False,False,False
2,2,1,2019,2019-01-02,Wednesday,January,3,1,2,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
3,3,1,2019,2019-01-03,Thursday,January,4,1,3,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
4,4,1,2019,2019-01-04,Friday,January,5,1,4,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
5,5,1,2019,2019-01-05,Saturday,January,6,1,5,1,1,Q1 2019,H1 2019,2019,1,1,True,False,False,,False,False,False,False,False
6,6,1,2019,2019-01-06,Sunday,January,7,1,6,1,1,Q1 2019,H1 2019,2019,1,1,True,False,False,,False,False,False,False,False
7,7,1,2019,2019-01-07,Monday,January,1,2,7,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
8,8,1,2019,2019-01-08,Tuesday,January,2,2,8,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
9,9,1,2019,2019-01-09,Wednesday,January,3,2,9,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
10,10,1,2019,2019-01-10,Thursday,January,4,2,10,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
11,11,1,2019,2019-01-11,Friday,January,5,2,11,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
12,12,1,2019,2019-01-12,Saturday,January,6,2,12,1,1,Q1 2019,H1 2019,2019,1,1,True,False,False,,False,False,False,False,False
13,13,1,2019,2019-01-13,Sunday,January,7,2,13,1,1,Q1 2019,H1 2019,2019,1,1,True,False,False,,False,False,False,False,False
14,14,1,2019,2019-01-14,Monday,January,1,3,14,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
15,15,1,2019,2019-01-15,Tuesday,January,2,3,15,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
16,16,1,2019,2019-01-16,Wednesday,January,3,3,16,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
