id_temps,id_region,id_canal,total_revenue,total_orders,total_items,total_customers,total_profit,avg_order_value,avg_profit_margin
19,1633,2,4.5,1,1,1,1.638000000268221,4.5,36.400000005960464
34,4617,1,10.25,1,1,1,6.631749979685992,10.25,64.69999980181456
57,6575,2,9.989999771118164,1,1,1,3.956039892578535,9.989999771118164,39.59999983198941
65,1356,2,8.9399995803833,1,1,1,5.596439755437373,8.9399995803833,62.60000020265579
70,4529,5,6.949999809265137,1,1,1,3.287349914623983,6.949999809265137,47.30000006966293
77,2118,8,10.199999809265137,1,1,1,4.824599916888028,10.199999809265137,47.30000006966292
87,6500,2,1.950000047683716,1,1,1,1.177800032077171,1.950000047683716,60.40000016801059
90,3762,6,5.949999809265137,1,1,1,2.082499919943512,5.949999809265137,34.99999977648258
97,7242,8,6.949999809265137,1,1,1,3.982349896197766,6.949999809265137,57.300000078976154
108,3338,2,10.550000190734863,1,1,1,5.443800106436759,10.550000190734863,51.60000007599592
110,3507,6,6.5,1,1,1,4.13399999961257,6.5,63.599999994039536
112,1591,6,9.300000190734863,1,1,1,5.580000093653798,9.300000190734863,59.99999977648258
118,4823,5,9.59000015258789,1,1,1,3.922310044402778,9.59000015258789,40.89999981224537
119,549,4,5.949999809265137,1,1,1,2.302649915723503,5.949999809265137,38.6999998241663
119,4662,6,7.0,1,1,1,3.311000004876405,7.0,47.30000006966293
119,7263,10,7.989999771118163,1,1,1,3.1880098963906143,7.989999771118163,39.89999984623863
122,6565,6,10.0,1,1,1,4.159999992698431,10.0,41.59999992698431
125,3498,7,6.0,1,1,1,2.9040000066161156,6.0,48.40000011026859
128,3412,4,3.880000114440918,1,1,1,1.703320054807067,3.880000114440918,43.90000011771917
129,1827,8,8.979999542236328,1,1,1,4.049979805056452,8.979999542236328,45.100000128149986
132,6838,10,2.950000047683716,1,1,1,1.652000033736229,2.950000047683716,56.00000023841858
133,7242,3,9.40999984741211,1,1,1,3.2934999255612496,9.40999984741211,34.99999977648258
135,7515,10,10.0,1,1,1,4.389999993145466,10.0,43.89999993145466
145,3809,5,9.989999771118164,1,1,1,6.453539867921769,9.989999771118164,64.60000015795231
153,3408,1,7.989999771118163,1,1,1,4.242689874415696,7.989999771118163,53.099999949336066
155,3742,3,8.989999771118164,1,1,1,5.2771298766312,8.989999771118164,58.70000012218952
155,7447,3,8.989999771118164,1,1,1,4.144389887251556,8.989999771118164,46.09999991953373
156,5087,6,7.989999771118163,1,1,1,3.835199893708526,7.989999771118163,48.00000004470348
160,5023,10,9.899999618530272,1,1,1,6.217199783745406,9.899999618530272,62.80000023543835
163,4444,3,9.989999771118164,1,1,1,5.014979886050318,9.989999771118164,50.20000000949949
164,5186,9,10.0,1,1,1,5.0,10.0,50.0
169,2057,3,2.5,1,1,1,1.3925000000745058,2.5,55.70000000298023
172,7485,3,9.0,1,1,1,5.391000012983568,9.0,59.90000014426187
173,652,7,8.800000190734863,1,1,1,4.417600115025044,8.800000190734863,50.20000021904707
174,8331,9,9.569999694824215,1,1,1,3.93326989539295,9.569999694824215,41.10000021755693
179,274,4,10.489999771118164,1,1,1,6.346449875985458,10.489999771118164,60.50000013783574
179,3513,8,9.119999885559082,1,1,1,5.964479917545318,9.119999885559082,65.39999991655348
179,4489,8,9.869999885559082,1,1,1,5.665379943723678,9.869999885559082,57.40000009536742
181,4057,7,9.789999961853027,1,1,1,4.297809976542891,9.789999961853027,43.89999993145467
182,3408,5,9.989999771118164,1,1,1,4.02596989313487,9.989999771118164,40.29999985359609
187,5397,7,9.989999771118164,1,1,1,5.864129877853095,9.989999771118164,58.70000012218952
189,5011,2,9.75,1,1,1,4.338750002905726,9.75,44.50000002980232
189,7656,3,9.720000267028809,1,1,1,5.822280136631129,9.720000267028809,59.89999976009128
190,4368,5,9.039999961853027,1,1,1,4.312079998238087,9.039999961853027,47.70000018179417
191,6019,7,10.899999618530272,1,1,1,6.278399773938952,10.899999618530272,57.59999994188546
191,7856,3,10.0,1,1,1,5.5400000140070915,10.0,55.400000140070915
192,1206,6,9.979999542236328,1,1,1,4.261459796653092,9.979999542236328,42.699999921023846
196,7567,7,4.96999979019165,1,1,1,3.2006798711043594,4.96999979019165,64.40000012516975
198,2570,4,8.960000038146973,1,1,1,3.6288000010967254,8.960000038146973,40.49999983981252
