id_fact_livraison,id_temps,id_livraison,id_region,id_client
1,1387,19,8011,4
2,1784,8,3785,24
3,1314,16,1091,29
4,1620,16,4946,34
5,1759,22,8446,42
6,1645,25,4403,43
7,1565,4,4403,43
8,1715,1,1769,44
9,481,2,1749,60
10,1085,9,1749,60
11,1573,25,1749,60
12,1661,1,6108,71
13,822,22,8906,73
14,1476,19,8906,73
15,1495,2,7881,77
16,1666,4,8950,79
17,795,7,3735,81
18,1448,17,7451,97
19,444,1,2138,105
20,1096,13,7582,120
21,1079,20,3408,125
22,1816,17,744,126
23,1781,25,5181,133
24,1629,9,4617,139
25,1365,16,8917,141
26,1799,16,7592,148
27,1821,25,7166,151
28,1520,11,3987,158
29,1338,20,829,173
30,1820,14,829,173
31,1470,11,1055,189
32,1656,12,8934,191
33,1434,22,6574,192
34,1805,11,1247,198
35,484,11,5512,206
36,1487,8,6936,212
37,1244,12,5669,214
38,1684,22,8699,219
39,1180,13,5512,226
40,1432,13,7515,228
41,1653,20,8966,268
42,344,2,7368,273
43,1124,12,4842,275
44,1315,11,4602,283
45,1788,4,5108,287
46,1830,1,1029,303
47,1741,15,6543,305
48,1242,23,2412,308
49,1551,13,3749,316
50,1120,24,4195,321
51,1820,5,484,328
52,1525,1,5739,329
53,1843,20,2049,350
54,1604,4,1640,362
55,1026,17,1640,362
56,1841,9,5898,365
57,903,23,425,376
58,1784,25,8170,380
59,1594,8,6030,382
60,1473,12,1657,385
61,1712,15,3547,393
62,1817,20,5025,394
63,1827,22,4381,401
64,1507,22,3007,412
65,1726,16,4645,417
66,1569,17,345,429
67,1710,14,7834,442
68,1807,22,3837,446
69,1557,7,7685,452
70,1765,1,802,459
71,1375,21,8897,462
72,317,11,8897,462
73,1592,1,6317,467
74,1727,21,3528,468
75,1240,12,1881,477
76,1619,2,9059,484
77,1081,24,3157,485
78,1755,11,6837,503
79,1828,22,801,510
80,959,15,1963,534
81,1645,8,3781,539
82,1471,20,3855,547
83,1643,16,868,550
84,1483,13,4345,559
85,1698,24,8235,561
86,1144,20,7790,571
87,1821,3,345,575
88,988,12,8902,577
89,1629,14,3824,579
90,696,16,3830,598
91,1808,22,82,603
92,1050,23,5048,608
93,1778,4,4870,613
94,1829,24,7681,625
95,1605,13,6728,632
96,947,10,3705,641
97,1459,20,2370,647
98,1789,7,4382,661
99,1830,23,1660,664
100,1619,5,4520,681
101,289,17,80,688
102,1322,19,4883,689
103,922,23,4883,689
104,1684,17,3756,690
105,844,2,6826,701
106,1127,5,7200,706
107,1758,16,2148,712
108,1798,3,3419,716
109,1100,10,1337,722
110,1115,22,3779,726
111,1426,18,6888,734
112,1202,15,6888,734
113,1688,6,7567,735
114,1480,15,2935,737
115,1711,4,2442,745
116,1233,16,4558,752
117,492,22,829,757
118,834,18,8751,761
119,521,8,7851,771
120,681,8,4015,778
121,1224,7,7188,801
122,740,6,3432,822
123,1803,25,4368,823
124,1635,22,845,835
125,1254,23,5837,838
126,1795,3,6646,855
127,1836,4,6646,855
128,1611,14,997,857
129,782,23,3457,865
130,1812,1,8252,878
131,1649,6,7136,879
132,968,11,3791,880
133,1809,13,3425,899
134,714,25,7613,901
135,1665,9,2531,919
136,1745,8,2232,922
137,1756,24,1862,926
138,1826,9,1048,927
139,762,22,4393,936
140,1684,16,3207,940
141,1582,22,1742,948
142,1007,4,3627,955
143,1390,22,7488,958
144,1607,5,6724,959
145,1741,18,1419,986
146,1777,21,3819,989
147,1841,24,7447,999
148,466,16,7447,1000
149,1122,3,3813,1006
150,1511,23,8907,1012
151,778,11,7243,1018
152,1193,8,1208,1026
153,1440,19,1822,1030
154,1658,25,817,1036
155,1006,20,8712,1037
156,1731,3,3959,1042
157,842,21,4642,1045
158,473,11,2346,1055
159,1166,13,7243,1071
160,1839,23,1382,1072
161,709,24,2892,1074
162,979,24,2994,1078
163,1552,24,2994,1078
164,1449,13,3803,1080
165,1284,21,238,1083
166,1842,21,2406,1109
167,1254,18,5815,1115
168,1478,14,3853,1126
169,1152,8,4546,1130
170,1416,8,4445,1176
171,1682,9,3982,1182
172,1721,4,7773,1203
173,1048,10,3442,1206
174,951,3,4232,1213
175,1555,4,6997,1214
176,1060,3,6997,1214
177,1277,11,810,1225
178,1083,24,5382,1227
179,1483,19,1882,1233
180,549,7,3797,1238
181,1422,24,8440,1239
182,1717,4,6011,1255
183,1537,19,7447,1256
184,1393,12,3081,1257
