id_fact_livraison,id_temps,id_livraison,id_region,id_client,delai_traitement_heures,delai_livraison_heures,delai_total_heures,delai_vs_promis,is_livraison_ontime,is_livraison_retard,cout_livraison,nombre_tentatives,id_status,order_id,tracking_number
1,1387,19,8011,4,15.083333333333334,36.8,51.88333333333333,3.883333333333333,False,True,14.032042361486655,1,1,ORD5000,TRK10000
2,1784,8,3785,24,46.31666666666667,48.78333333333333,95.1,47.099999999999994,False,True,17.67331035491439,1,1,ORD5001,TRK10001
3,1314,16,1091,29,71.13333333333334,111.35,182.48333333333332,62.48333333333332,False,True,10.173017800328656,3,1,ORD5002,TRK10002
4,1620,16,4946,34,40.05,67.05,107.1,83.1,False,True,18.14656652953958,1,1,ORD5003,TRK10003
5,1759,22,8446,42,12.333333333333334,44.416666666666664,56.75,8.75,False,True,10.77204721816253,1,1,ORD5004,TRK10004
6,1645,25,4403,43,1.8166666666666667,119.46666666666667,121.28333333333333,97.28333333333333,False,True,14.685853460739711,1,1,ORD5005,TRK10005
7,1565,4,4403,43,37.65,97.6,135.25,-32.75,True,False,5.467396045688464,1,1,ORD5006,TRK10006
8,1715,1,1769,44,10.716666666666667,38.81666666666667,49.53333333333333,25.53333333333333,False,True,6.563646443675813,2,1,ORD5007,TRK10007
9,481,2,1749,60,59.25,10.9,70.15,-97.85,True,False,9.542023829395557,3,1,ORD5008,TRK10008
10,1085,9,1749,60,70.46666666666667,48.46666666666667,118.93333333333334,-1.0666666666666629,True,False,21.129860053203615,1,1,ORD5009,TRK10009
11,1573,25,1749,60,46.583333333333336,100.36666666666666,146.95,-21.05000000000001,True,False,18.20768386903206,2,1,ORD5010,TRK10010
12,1661,1,6108,71,33.083333333333336,9.55,42.63333333333333,-125.36666666666667,True,False,22.868962541285583,1,1,ORD5011,TRK10011
13,822,22,8906,73,6.55,98.88333333333334,105.43333333333334,33.43333333333334,False,True,23.094218411283308,3,1,ORD5012,TRK10012
14,1476,19,8906,73,26.816666666666666,53.833333333333336,80.65,-39.349999999999994,True,False,12.493428040125155,1,1,ORD5013,TRK10013
15,1495,2,7881,77,18.85,12.383333333333333,31.233333333333334,-16.766666666666666,True,False,12.350618123508728,2,1,ORD5014,TRK10014
16,1666,4,8950,79,63.36666666666667,47.666666666666664,111.03333333333333,-8.966666666666669,True,False,21.714860991974977,2,1,ORD5015,TRK10015
17,795,7,3735,81,31.533333333333335,7.316666666666666,38.85,-33.15,True,False,13.528865401369403,1,1,ORD5016,TRK10016
18,1448,17,7451,97,44.3,91.13333333333334,135.43333333333334,-32.56666666666666,True,False,22.14402609716554,1,1,ORD5017,TRK10017
19,444,1,2138,105,7.55,110.3,117.85,-2.1500000000000057,True,False,15.118596719079276,3,1,ORD5018,TRK10018
20,1096,13,7582,120,65.46666666666667,81.93333333333334,147.4,75.4,False,True,13.494262484700034,1,1,ORD5019,TRK10019
21,1079,20,3408,125,14.416666666666666,22.933333333333334,37.35,-10.649999999999999,True,False,10.58139795565059,2,1,ORD5020,TRK10020
22,1816,17,744,126,6.75,47.36666666666667,54.11666666666667,-113.88333333333333,True,False,7.529736889127445,1,1,ORD5021,TRK10021
23,1781,25,5181,133,7.0,111.18333333333334,118.18333333333334,-1.8166666666666629,True,False,15.51804614955864,3,1,ORD5022,TRK10022
24,1629,9,4617,139,22.75,81.75,104.5,-15.5,True,False,11.504502305816874,1,1,ORD5023,TRK10023
25,1365,16,8917,141,50.766666666666666,67.06666666666666,117.83333333333333,-50.16666666666667,True,False,9.988804439708305,1,1,ORD5024,TRK10024
26,1799,16,7592,148,25.1,28.816666666666666,53.916666666666664,-66.08333333333334,True,False,8.393203325701464,1,1,ORD5025,TRK10025
27,1821,25,7166,151,31.45,33.45,64.9,-103.1,True,False,12.77244242342144,1,1,ORD5026,TRK10026
28,1520,11,3987,158,20.05,61.733333333333334,81.78333333333333,9.783333333333331,False,True,16.117455230884254,3,1,ORD5027,TRK10027
29,1338,20,829,173,10.633333333333333,119.83333333333333,130.46666666666667,-37.53333333333333,True,False,21.7405192824747,1,1,ORD5028,TRK10028
30,1820,14,829,173,8.766666666666667,109.13333333333334,117.9,69.9,False,True,21.40380007077187,1,1,ORD5029,TRK10029
31,1470,11,1055,189,67.93333333333334,56.31666666666667,124.25,-43.75,True,False,22.10126842351546,1,1,ORD5030,TRK10030
32,1656,12,8934,191,68.53333333333333,33.75,102.28333333333333,-17.71666666666667,True,False,16.5246723125819,3,1,ORD5031,TRK10031
33,1434,22,6574,192,14.183333333333334,107.83333333333333,122.01666666666667,-45.983333333333334,True,False,16.190998542625845,1,1,ORD5032,TRK10032
34,1805,11,1247,198,3.45,48.733333333333334,52.18333333333333,-115.81666666666666,True,False,23.102833389021608,1,1,ORD5033,TRK10033
35,484,11,5512,206,61.666666666666664,83.9,145.56666666666666,-22.433333333333337,True,False,10.770938247932111,1,1,ORD5034,TRK10034
36,1487,8,6936,212,68.0,73.1,141.1,93.1,False,True,7.909011042083569,3,1,ORD5035,TRK10035
37,1244,12,5669,214,37.7,54.083333333333336,91.78333333333333,43.78333333333333,False,True,6.6554954451433375,1,1,ORD5036,TRK10036
38,1684,22,8699,219,16.316666666666666,114.61666666666666,130.93333333333334,10.933333333333337,False,True,22.62089267019334,3,1,ORD5037,TRK10037
39,1180,13,5512,226,36.03333333333333,102.33333333333333,138.36666666666667,18.366666666666674,False,True,12.435464317186582,3,1,ORD5038,TRK10038
40,1432,13,7515,228,27.866666666666667,78.31666666666666,106.18333333333334,-61.81666666666666,True,False,14.974525395356444,1,1,ORD5039,TRK10039
41,1653,20,8966,268,0.11666666666666667,113.65,113.76666666666667,89.76666666666667,False,True,21.06120092410262,3,1,ORD5040,TRK10040
42,344,2,7368,273,47.31666666666667,90.3,137.61666666666667,65.61666666666667,False,True,12.46336089736787,1,1,ORD5041,TRK10041
43,1124,12,4842,275,30.466666666666665,88.73333333333333,119.2,-48.8,True,False,22.359095011874818,3,1,ORD5042,TRK10042
44,1315,11,4602,283,29.533333333333335,13.9,43.43333333333333,-28.56666666666667,True,False,11.433957393935337,1,1,ORD5043,TRK10043
45,1788,4,5108,287,19.283333333333335,36.333333333333336,55.61666666666667,7.616666666666667,False,True,19.64764452675444,1,1,ORD5044,TRK10044
46,1830,1,1029,303,16.483333333333334,33.233333333333334,49.71666666666667,-70.28333333333333,True,False,18.347398769746263,3,1,ORD5045,TRK10045
47,1741,15,6543,305,6.383333333333334,102.35,108.73333333333333,84.73333333333333,False,True,9.026922105173336,1,1,ORD5046,TRK10046
48,1242,23,2412,308,66.66666666666667,17.333333333333332,84.0,-36.0,True,False,7.4899561062961,2,1,ORD5047,TRK10047
49,1551,13,3749,316,40.2,81.6,121.8,73.8,False,True,7.231093467579656,2,1,ORD5048,TRK10048
50,1120,24,4195,321,69.16666666666667,73.68333333333334,142.85,-25.150000000000006,True,False,18.01827671420984,1,1,ORD5049,TRK10049
51,1820,5,484,328,2.45,81.53333333333333,83.98333333333333,35.983333333333334,False,True,5.258875220256948,1,1,ORD5050,TRK10050
52,1525,1,5739,329,10.583333333333334,2.7666666666666666,13.35,-10.65,True,False,18.213483722338793,3,1,ORD5051,TRK10051
53,1843,20,2049,350,66.21666666666667,18.25,84.46666666666667,-83.53333333333333,True,False,20.639315363170738,1,1,ORD5052,TRK10052
54,1604,4,1640,362,30.283333333333335,10.3,40.583333333333336,-127.41666666666666,True,False,11.050204618419034,3,1,ORD5053,TRK10053
55,1026,17,1640,362,21.3,68.98333333333333,90.28333333333333,66.28333333333333,False,True,19.91400995296781,3,1,ORD5054,TRK10054
