id_satisfaction,id_temps,id_canal,id_client,id_produit,note_satisfaction,taux_satisfaction,nombre_avis,nombre_ventes,nps_equivalent,nps_category,nps_score,sentiment_score,sentiment_label,is_verified_purchase,helpful_votes,resolution_time_hours,review_id,review_source,id_satisfaction_category
1,1387,7,4,1035,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,6,0.0,REV1000,Website,2
2,1784,7,24,5119,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,False,5,0.0,REV1001,Website,3
3,1314,4,29,5916,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,3,0.0,REV1002,Email Survey,2
4,1620,10,34,9336,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,9,0.0,REV1003,Email Survey,1
5,1759,6,42,8910,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,3,0.0,REV1004,Email Survey,3
6,1645,2,43,11205,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,4,0.0,REV1005,Email Survey,3
7,1565,9,43,12987,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,3,0.0,REV1006,Website,4
8,1565,9,43,6551,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,7,0.0,REV1007,Mobile App,1
9,1565,4,43,11397,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,1,0.0,REV1008,Email Survey,3
10,1565,8,43,1141,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,3,0.0,REV1009,Phone,4
11,1715,5,44,4561,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,3,0.0,REV1010,Phone,2
12,481,3,60,12528,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,4,5.46312239087931,REV1011,Website,4
13,481,7,60,10035,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,False,3,0.0,REV1012,Mobile App,2
14,481,1,60,15514,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,7,0.0,REV1013,Mobile App,1
15,1085,6,60,2043,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,4,0.0,REV1014,Website,3
16,1573,3,60,8841,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,13,25.184059542342066,REV1015,Website,1
17,1573,7,60,8865,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,False,8,0.0,REV1016,Mobile App,2
18,1661,7,71,15513,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,3,0.0,REV1017,Website,4
19,822,7,73,3956,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,7,8.901574697676438,REV1018,Phone,4
20,822,1,73,8142,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,False,5,0.0,REV1019,Website,1
21,1476,4,73,13608,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,0,39.802109168760744,REV1020,Email Survey,1
22,1495,10,77,6692,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,5,0.0,REV1021,Email Survey,3
23,1666,9,79,12666,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,7,14.787550652215428,REV1022,Mobile App,4
24,795,10,81,5270,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,12,0.0,REV1023,Email Survey,1
25,1448,7,97,12787,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,7,40.183743198499734,REV1024,Website,2
26,444,6,105,7218,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,0,0.0,REV1025,Website,2
27,1096,4,120,4557,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,False,10,34.54330939191143,REV1026,Website,3
28,1079,10,125,14301,4,0.8,1,1,7.5,Passive,100,0.5,Positive,False,6,0.0,REV1027,Email Survey,3
29,1816,2,126,15781,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,False,3,0.0,REV1028,Website,3
30,1781,1,133,5930,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,3,0.0,REV1029,Website,4
31,1629,7,139,15909,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,5,0.0,REV1030,Email Survey,4
32,1629,9,139,15558,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,5,17.315204919382527,REV1031,Website,4
33,1629,3,139,9533,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,4,0.0,REV1032,Phone,1
34,1629,6,139,4376,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,3,32.614557421807696,REV1033,Website,2
35,1365,3,141,9338,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,8,0.0,REV1034,Email Survey,3
36,1799,4,148,8292,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,6,0.0,REV1035,Phone,1
37,1821,3,151,5107,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,False,7,0.0,REV1036,Phone,4
38,1520,2,158,3999,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,9,8.690212644107756,REV1037,Email Survey,4
39,1520,4,158,13264,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,5,0.0,REV1038,Website,2
40,1520,8,158,14827,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,6,0.0,REV1039,Email Survey,2
41,1520,4,158,5323,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,5,0.0,REV1040,Phone,3
42,1338,8,173,2925,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,4,42.93871440244072,REV1041,Website,2
43,1820,3,173,6795,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,5,0.0,REV1042,Website,1
44,1820,9,173,13034,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,4,37.81979371977829,REV1043,Email Survey,3
45,1820,10,173,10451,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,9,0.0,REV1044,Email Survey,1
46,1470,3,189,2609,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,False,5,13.707625680614607,REV1045,Website,2
47,1656,8,191,11306,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,7,10.718702945795563,REV1046,Website,1
48,1434,1,192,2463,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,False,5,37.58343240712427,REV1047,Website,3
49,1434,7,192,5856,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,False,4,0.0,REV1048,Website,2
50,1434,8,192,8275,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,7,0.0,REV1049,Phone,1
51,1805,2,198,9526,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,3,0.0,REV1050,Website,2
52,1805,5,198,1141,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,4,0.0,REV1051,Website,4
53,484,2,206,5895,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,5,0.0,REV1052,Mobile App,4
54,484,9,206,13331,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,3,9.91821306135436,REV1053,Website,4
55,484,8,206,8295,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,5,0.0,REV1054,Website,2
56,1487,1,212,13547,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,4,0.0,REV1055,Mobile App,3
57,1244,7,214,9726,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,2,7.11767304283918,REV1056,Website,1
58,1684,6,219,1453,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,4,0.0,REV1057,Mobile App,1
59,1180,9,226,1156,4,0.8,1,1,7.5,Passive,100,0.5,Positive,False,6,0.0,REV1058,Email Survey,4
60,1180,7,226,10142,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,4,20.17958673591927,REV1059,Website,2
61,1432,2,228,1991,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,5,23.44064192065781,REV1060,Email Survey,2
62,1653,5,268,4615,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,9,0.0,REV1061,Email Survey,3
63,344,2,273,7422,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,False,3,47.96402058364956,REV1062,Phone,3
64,1124,6,275,8270,4,0.8,1,1,7.5,Passive,100,0.5,Positive,False,4,0.0,REV1063,Website,1
65,1315,6,283,3914,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,7,18.804868112064444,REV1064,Phone,2
66,1315,4,283,3470,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,3,0.0,REV1065,Mobile App,2
67,1315,4,283,4346,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,2,0.0,REV1066,Website,1
68,1788,2,287,8825,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,3,0.0,REV1067,Website,3
69,1830,2,303,10942,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,5,0.0,REV1068,Website,1
70,1830,8,303,12858,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,4,22.742977124684227,REV1069,Website,3
71,1741,5,305,10539,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,4,0.0,REV1070,Website,4
72,1242,5,308,6243,4,0.8,1,1,7.5,Passive,100,0.5,Positive,False,7,0.0,REV1071,Website,2
73,1551,6,316,7557,4,0.8,1,1,7.5,Passive,100,0.5,Positive,False,7,0.0,REV1072,Email Survey,4
74,1120,5,321,15978,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,5,0.0,REV1073,Website,3
75,1820,5,328,13828,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,False,5,0.0,REV1074,Mobile App,4
76,1820,1,328,5512,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,1,23.197726727285787,REV1075,Website,3
77,1820,3,328,8359,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,4,0.0,REV1076,Website,1
78,1820,5,328,4470,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,False,5,42.00368057745351,REV1077,Website,2
79,1525,4,329,11199,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,6,0.0,REV1078,Email Survey,2
80,1843,10,350,6196,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,False,7,0.0,REV1079,Email Survey,4
81,1604,5,362,11326,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,4,0.0,REV1080,Email Survey,1
82,1604,3,362,7272,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,False,5,0.0,REV1081,Website,2
83,1604,5,362,10027,4,0.8,1,1,7.5,Passive,100,0.5,Positive,False,4,0.0,REV1082,Mobile App,1
84,1604,8,362,8640,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,5,0.0,REV1083,Website,4
85,1026,3,362,78,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,3,36.41883528179646,REV1084,Website,1
86,1841,3,365,15310,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,False,2,0.0,REV1085,Email Survey,1
87,1841,5,365,15072,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,3,0.0,REV1086,Email Survey,1
88,903,5,376,12884,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,9,17.657501411887548,REV1087,Website,2
89,1784,1,380,7419,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,7,39.005708985698504,REV1088,Website,2
90,1784,10,380,8057,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,5,0.0,REV1089,Website,1
91,1594,3,382,13057,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,False,6,0.0,REV1090,Website,2
92,1473,1,385,14968,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,6,0.0,REV1091,Email Survey,4
93,1712,6,393,3860,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,4,0.0,REV1092,Email Survey,4
94,1712,9,393,2112,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,4,0.0,REV1093,Email Survey,2
95,1712,8,393,2732,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,2,0.0,REV1094,Phone,1
96,1712,3,393,13230,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,7,0.0,REV1095,Website,4
97,1817,3,394,15864,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,7,0.0,REV1096,Email Survey,3
98,1827,9,401,10890,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,False,4,0.0,REV1097,Website,4
99,1507,9,412,5618,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,4,0.0,REV1098,Email Survey,3
100,1726,7,417,6542,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,5,0.0,REV1099,Email Survey,3
101,1726,3,417,1805,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,6,0.0,REV1100,Email Survey,4
102,1569,8,429,553,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,4,4.933349257190027,REV1101,Website,1
103,1710,8,442,7728,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,5,0.0,REV1102,Website,4
104,1710,1,442,12948,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,6,14.21192867571959,REV1103,Mobile App,2
105,1807,6,446,1093,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,5,4.565981011112536,REV1104,Phone,1
106,1557,5,452,11445,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,4,8.979941122193901,REV1105,Website,3
107,1557,4,452,12476,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,9,14.499321313355289,REV1106,Email Survey,2
108,1765,5,459,12076,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,5,0.0,REV1107,Website,3
109,1375,2,462,3011,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,8,41.48220587192237,REV1108,Email Survey,3
110,317,6,462,10378,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,7,0.0,REV1109,Email Survey,1
111,317,8,462,1600,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,6,0.0,REV1110,Website,4
112,1592,1,467,11131,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,5,0.0,REV1111,Website,1
113,1727,4,468,2121,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,12,46.08534775493637,REV1112,Email Survey,1
114,1240,6,477,9511,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,6,43.700248634801184,REV1113,Website,2
115,1619,7,484,9055,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,3,39.35562981453691,REV1114,Email Survey,2
116,1619,6,484,13184,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,4,0.0,REV1115,Website,3
117,1081,2,485,10321,3,0.6,1,1,5.0,Detractor,0,0.0,Neutral,True,11,0.0,REV1116,Phone,1
118,1755,9,503,7453,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,2,0.0,REV1117,Website,2
119,1828,9,510,7509,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,4,19.936964846351792,REV1118,Website,1
120,959,1,534,1074,4,0.8,1,1,7.5,Passive,100,0.5,Positive,True,4,0.0,REV1119,Website,2
121,1645,10,539,2101,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,7,0.0,REV1120,Phone,3
122,1645,4,539,8564,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,False,6,46.17493295025489,REV1121,Website,3
123,1471,5,547,11929,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,4,29.673939552071143,REV1122,Email Survey,4
124,1643,4,550,6484,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,10,1.296551586824263,REV1123,Website,3
125,1483,8,559,12450,2,0.4,1,1,2.5,Detractor,-100,-0.5,Negative,True,1,39.03174001152021,REV1124,Website,3
126,1698,1,561,15909,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,3,0.0,REV1125,Email Survey,4
127,1698,5,561,8417,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,6,0.0,REV1126,Website,3
128,1144,5,571,1111,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,5,30.179904016437288,REV1127,Mobile App,4
129,1821,4,575,4572,1,0.2,1,1,0.0,Detractor,-100,-1.0,Negative,True,6,3.958709248204112,REV1128,Website,3
130,988,3,577,5847,5,1.0,1,1,10.0,Promoter,100,1.0,Positive,True,6,0.0,REV1129,Website,1
